Filename,Document Name,Document Name-Answer,Parties,Parties-Answer,Agreement Date,Agreement Date-Answer,Effective Date,Effective Date-Answer,Expiration Date,Expiration Date-Answer,Renewal Term,Renewal Term-Answer,Notice Period To Terminate Renewal,Notice Period To Terminate Renewal- Answer,Governing Law,Governing Law-Answer
STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF,['CONSTRUCTION AND MAINTENANCE AGREEMENT'],CONSTRUCTION AND MAINTENANCE AGREEMENT,"['Tele Danmark A/S', 'Tele 2 AB', 'ABS Telecom plc', 'Belgacom S.A.', 'Cable & Wireless Global Network Organisation Limited', 'Transoceanic Communications Incorporated', 'Hellenic Telecommunications Organisation S.A.', 'STARTEC GLOBAL COMMUNICATIONS CORPORATION', 'Ultrallne (Bermuda) Limited', 'TELIA AB (publ)', 'France Telecom', 'TeleBermuda International Limited', 'IXC Communications, Inc.', 'Rostelecom', 'StarHub', 'Japan Telecom Co., Ltd.', 'Pacific Gateway Exchange Inc.', 'Sprint Communications Company L.P.', '(hereinafter  collectively  called  ""Parties""  and  individually  called ""Party"")', 'Kokusai Denshin Denwa Americas Inc.', 'GTE Intelligent Network Services Incorporated', 'British Telecommunications pIc', 'NTT Worldwide Network Corporation', 'Telef6nica de Espana, S.A.', 'Swisscom North America Inc.', 'Emirates Telecommunications Corporation - ETISALAT', 'CYPRUS TELECOMMUNICATIONS AUTHORITY', 'BellSouth International, Inc.', 'Com Tech International Corporation', 'RSL Communications Limited', 'Teleglobe USA', 'Sonera Ltd.', 'Deutsche Telekom AG', 'Cable & Wireless, Inc.', 'KPN Telecom B.V', 'MCI International Inc.', 'Telenor Global Services AS', 'STAR Telecommunications Inc.', 'VIATEL', 'Swisscom Ltd', 'Turk Telekomunikasyon A.S.', 'Telesur', 'Telia North America Inc.', 'Slovenske Telecomunicatie s.e.', 'Energis Communications Limited', 'IXNET Limited', 'BARAK I.T.C', 'Videsh Sanchar Nigam Limited', 'Singapore Telecommunications Limited', 'COMPANHIA PORTUGUESA RADIO MARCONI, SA.', 'BC TEL', 'Pacific Gateway Exchange', 'AT&T Corp.', 'OY FINNET International AB', 'Carrier 1 AG']","ABS Telecom plc; AT&T Corp.; BARAK I.T.C; BC TEL; Belgacom S.A.; BellSouth International, Inc.; British Telecommunications pIc; Cable & Wireless Global Network Organisation Limited; Cable & Wireless, Inc.; Carrier 1 AG; COMPANHIA PORTUGUESA RADIO MARCONI, SA.; Com Tech International Corporation; CYPRUS TELECOMMUNICATIONS AUTHORITY; Deutsche Telekom AG; Energis Communications Limited; Emirates Telecommunications Corporation - ETISALAT; France Telecom; GTE Intelligent Network Services Incorporated; Hellenic Telecommunications Organisation S.A.; IXC Communications, Inc.; IXNET Limited; Japan Telecom Co., Ltd.; Kokusai Denshin Denwa Americas Inc.; KPN Telecom B.V; MCI International Inc.; NTT Worldwide Network Corporation; OY FINNET International AB; Pacific Gateway Exchange; Pacific Gateway Exchange Inc.; Rostelecom; RSL Communications Limited; Singapore Telecommunications Limited; Slovenske Telecomunicatie s.e.; Sonera Ltd.; Sprint Communications Company L.P. ; STAR Telecommunications Inc.; StarHub; STARTEC GLOBAL COMMUNICATIONS CORPORATION; Swisscom Ltd; Swisscom North America Inc.; Tele 2 AB; TeleBermuda International Limited; Tele Danmark A/S; Telef6nica de Espana, S.A.; Teleglobe USA; Telenor Global Services AS; Telesur; TELIA AB (publ); Telia North America Inc.; Transoceanic Communications Incorporated; Turk Telekomunikasyon A.S.; Ultrallne (Bermuda) Limited; VIATEL; Videsh Sanchar Nigam Limited 
(hereinafter  collectively  called  ""Parties""  and  individually  called ""Party"")",['2nd  day  of  September  1998'],9/2/98,['2nd  day  of  September  1998'],9/2/98,"['This Agreement  shall become  effective on the Effective Date and shall          continue in operation for at least a period of  twenty-five  (25) years          (hereinafter  called ""Initial Period"") after the RFCS Date and shall be          terminable  thereafter by agreement of the Parties.']",9/2/23,[],,[],,"['The  construction,  interpretation  and  performance  of this Agreement          shall be governed by the laws of Switzerland,  except for its conflicts          of law principles.']",Switzerland
SUNTRONCORP_05_17_2006-EX-10.22-MAINTENANCE AGREEMENT.PDF,['MAINTENANCE AGREEMENT'],MAINTENANCE AGREEMENT,"['SUNTRON-IOWA, INC.', 'U.S. BANK NATIONAL ASSOCIATION', 'Agent', 'K*TEC OPERATING CORP.', 'CURRENT ELECTRONICS, INC.', 'SUNTRON CORPORATION', 'RM ELECTRONICS, INC.', 'THAYER EQUITY INVESTORS IV, L.P.', 'SUNTRON GCO, L.P.', 'Investor', 'SUNTRON-KANSAS, INC.', 'collectively, the ""Borrowers""', 'in such capacity and together with its successors and assigns in such capacity, the ""Agent""', 'EFTC OPERATING CORP.', 'collectively and together with their respective successors and assigns, the ""Lenders""']","THAYER EQUITY INVESTORS IV, L.P. (""Investor""); U.S. Bank National ASSOCIATION (together with its successors and assigns in such capacity, the ""Agent""); (Investor and Agent collectively and together with their respective successors and assigns, the ""Lenders""); SUNTRON CORPORATION; K*TEC OPERATING CORP., SUNCTRON GCO L.P.; EFTC OPERATING CORP.; SUNTRON-IOWA, INC.; CURRENT ELECTRONICS, INC.; RM ELECTRONICS, INC.; SUNTRON-KANSAS, INC. (collectively, the ""Borrowers"")",['28th day of March 2006'],3/28/06,[],,"['This Agreement shall terminate upon the earliest to occur of: (i) the date on which the aggregate Required Capital Contributions paid by the Investor, and received by the Borrowers, in accordance with the terms of this Agreement equal $5,000,000; (ii) the Release Date (as defined in Section 19) or (iii) payment in full, in cash, of all Obligations and the termination of the Financing Agreement; provided, however, that this Agreement shall continue to be effective, or be reinstated, as the case may be, if at any time the aggregate Required Capital Contributions paid by the Investor, and received by the Borrowers, in accordance with the terms of this Agreement is less than $5,000,000 and any payment, or any part thereof, on account of any of the Obligations is invalidated, declared to be fraudulent or preferential, set aside, rescinded or must otherwise be restored or returned by the Agent or the Lenders upon the insolvency, bankruptcy, liquidation, dissolution or reorganization of any Borrower or upon or as a result of the appointment of a receiver, intervenor or conservator of, or trustee or similar officer for any Borrower, or any substantial part of its property, or otherwise, all as though such payment had not been made.']",,[],,[],,"['THE VALIDITY, CONSTRUCTION AND ENFORCEABILITY OF THIS AGREEMENT SHALL BE GOVERNED BY THE LAWS OF THE STATE OF MINNESOTA, WITHOUT GIVING EFFECT TO CONFLICT OF LAWS PRINCIPLES THEREOF.']",Minnesota
SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,['Software license and maintenance agreement'],Software license and maintenance agreement,"['D2 Technologies, Inc.', 'D2', 'Summa Four Inc.', 'LICENSEE']","D2 Technologies, Inc. (""D2""); Summa Four Inc. (""LICENSEE"")","['August 4, 1997']",8/4/97,"['August 4, 1997']",8/4/97,['This Agreement shall become effective on the Effective Date and shall continue in effect until terminated in accordance with the provisions of this Article 9.'],perpetual,[],,[],,['This Agreement shall be governed by and interpreted in accordance within the laws of the State of New York without reference to conflicts of laws provisions.'],New York
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF,['ASIA PACIFIC CABLE NETWORK 2 CONSTRUCTION & MAINTENANCE AGREEMENT'],ASIA PACIFIC CABLE NETWORK 2 CONSTRUCTION & MAINTENANCE AGREEMENT,"['China United Telecommunications Corporation', 'China Telecom', 'Taiwan Fixed Network Co., Ltd. Preparatory Office', 'Telia AB (publ)', 'Maxis International Sdn. Bhd', 'Advantage Telecommunications Ltd.', 'APT Satellite Telecommunications Limited', 'Williams Communications, Inc.,', 'NTT Communications Corporation', 'Japan Telecom Co., Ltd.', 'KPN Telecom B.V.', 'PT Indosat (Persero) Tbk', 'Teleglobe USA Inc.', 'CTI International Limited', 'Telstra Global Networks Limited', 'Bayan Telecommunications, Inc.', 'Layer 2 Communications Group Ltd.', 'StarHub Pte Ltd', 'Concert Global Network Services, Ltd.', 'GNG Networks. Inc.', 'TT dotCom Sdn Bhd', 'Metromedia Fiber Network Services, Inc.', 'The Communications Authority of Thailand', 'Chunghwa Telecom Co., Ltd.,', 'GTE Intelligent Network Service Incorporated', 'Global One Communications Network, Inc.', 'Philippine Long Distance Telephone Company', 'Cable & Wireless HKT international Limited', 'KDD Corporation', 'Onse Telecom Corporation', 'edge2net Inc.', 'New World Telephone Limited', 'Dacom Corporation', 'Singapore Telecommunications Limited', 'Korea Telecom', 'China Netcom Corporation Ltd.', 'Cable & Wireless Global Network Limited', 'MCI International Telecommunications. Inc.', 'Onelink Cable Network Limited', 'Globe Telecom, Inc.', 'NTT Com Asia Ltd.', 'Eastern Telecommunications Philippines, Incorporated', 'New Century InfoComm Ltd., Preparatory Office', 'Global Access Ltd.', 'Telekom Malaysia Berhad (128740-P)', '(hereinafter collectively called ""Parties"" and individually called ""Party""),']","Advantage Telecommunications Ltd.; Cable & Wireless Global Network Limited; Cable & Wireless HKT international Limited; China Telecom; China United Telecommunications Corporation; Chunghwa Telecom Co., Ltd.,; Concert Global Network Services, Ltd.; Global One Communications Network, Inc.; Japan Telecom Co., Ltd.; KDD Corporation; Korea Telecom; KPN Telecom B.V.; Layer 2 Communications Group Ltd.; MCI International Telecommunications. Inc.; Metromedia Fiber Network Services, Inc.; New Century InfoComm Ltd., Preparatory Office; NTT Communications Corporation; Onelink Cable Network Limited; Philippine Long Distance Telephone Company; Singapore Telecommunications Limited; StarHub Pte Ltd; Taiwan Fixed Network Co., Ltd. Preparatory Office; Teleglobe USA Inc.; Telekom Malaysia Berhad (128740-P); Telstra Global Networks Limited; Williams Communications, Inc.,; APT Satellite Telecommunications Limited; Bayan Telecommunications, Inc.; China Netcom Corporation Ltd.; The Communications Authority of Thailand; CTI International Limited; Dacom Corporation; edge2net Inc.; Eastern Telecommunications Philippines, Incorporated; Global Access Ltd.; Globe Telecom, Inc.; GNG Networks. Inc.; GTE Intelligent Network Service Incorporated; PT Indosat (Persero) Tbk; Maxis International Sdn. Bhd; New World Telephone Limited; NTT Com Asia Ltd.;Onse Telecom Corporation; Telia AB (publ); TT dotCom Sdn Bhd; (hereinafter collectively called “Parties” and individually called “Party”)",['18th day of April 2000'],4/18/00,"['18th day of April 2000<omitted>This Agreement shall become effective on the date and year first above written and shall continue in operation for at least an initial period of twenty-five (25) years following the RFS Date (hereinafter referred to as ""initial Period"") and shall be terminable thereafter by agreement of the Parties.']",4/18/00,"['This Agreement shall become effective on the date and year first above written and shall continue in operation for at least an initial period of twenty-five (25) years following the RFS Date (hereinafter referred to as ""initial Period"") and shall be terminable thereafter by agreement of the Parties.']",4/18/25,[],,[],,[],
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT.PDF,['LICENCE AND MAINTENANCE AGREEMENT'],LICENCE AND MAINTENANCE AGREEMENT,"['SYSTEMS APPLICATIONS PRODUCTS (AFRICA) (PTY) LIMITED', 'SAP AFRICA', '(""TELKOM"")', 'TELKOM SOUTH AFRICA LIMITED']","SYSTEMS APPLICATIONS PRODUCTS (AFRICA) (PTY) LIMITED (""SAP AFRICA""); TELKOM SOUTH AFRICA LIMITED (""TELKOM"")",['31st day of  March 2001'],3/31/01,[],,"['Subject to the provisions of this AGREEMENT, and with effect from the date   when the party signing last in time appends its signature to this agreement (""the   effective date""), and enduring in perpetuity unless terminated as provided for   elsewhere in this AGREEMENT, SAP AFRICA grants, and TELKOM accepts a   non-exclusive, non-transferable licence to USE the SOFTWARE,   DOCUMENTATION and other SAP AFRICA PROPRIETARY INFORMATION at   the specified DESIGNATED SITE within the TERRITORY.', 'The licence granted hereunder shall become effective upon execution of this   AGREEMENT by both parties and shall endure indefinitely unless terminated   under clause 6. 2.']",perpetual,[],,[],,['This AGREEMENT shall be governed by and construed under the   Laws of the Republic of South Africa.'],Republic of South Africa
TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT.PDF,['TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT'],TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT,"['MEDICAL MANAGER, MIDWEST, INC.', 'Customer', 'MMMW', 'MTS, INC.']","MEDICAL MANAGER MIDWEST, INC. (""MMMW""); MTS, INC. (""Customer"")","['March 1, 1998']",3/1/98,"['3-5-98', 'This Agreement shall be effective on the date of signed                   acceptance (""Effective Date"") by MMMW.']",3/5/98,"['Upon expiration of that 12 months,           MMMW affords the Customer the opportunity of a continuation of support           on an annual basis as follows: The Initial Term of this Technical           Infrastructure Maintenance Agreement is twelve months, commencing on           the Effective Date.']",3/5/99,[],,"['Customer, upon thirty days prior written notice, may cancel this           Agreement at the end of the Initial Term and thereafter on each           anniversary of the end of the Initial Term.']",30 days,['This Agreement shall be interpreted in accordance with the                   laws of the State of Indiana.'],Indiana
UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT.PDF,['MAINTENANCE AGREEMENT'],MAINTENANCE AGREEMENT,"['Provider', 'Company', 'Universal Access, Inc.', 'CityNet Telecommunications, Inc.']","Universal Access, Inc. (""Company""); CityNet Telecommunications, Inc.(""Provider"")","['July 23, 2003']",7/23/03,"['This Agreement commences on the date first above written, and will remain in effect for the period of five (5) years, except as otherwise provided herein.', 'July 23, 2003']",7/23/03,"['This Agreement commences on the date first above written, and will remain in effect for the period of five (5) years, except as otherwise provided herein.']",7/23/08,['This Agreement will extend automatically for monthly periods unless either party to this Agreement notifies the other party in writing at least thirty (30) days before the expiration of the then current term.'],successive 1 month,['This Agreement will extend automatically for monthly periods unless either party to this Agreement notifies the other party in writing at least thirty (30) days before the expiration of the then current term.'],30 days,"['THIS AGREEMENT AND THE RIGHTS AND OBLIGATIONS OF THE PARTIES HEREUNDER SHALL BE CONSTRUED ACCORDING TO AND GOVERNED BY THE SUBSTANTIVE LAWS OF THE STATE OF DELAWARE, EXCLUDING ITS CONFLICTS OF LAWS PRINCIPLES TO THE EXTENT SUCH PRINCIPLES WOULD LEAD TO THE APPLICATION OF A SUBSTANTIVE LAW OTHER THAN THE LAW OF THE STATE OF DELAWARE.']",Delaware
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.PDF,['Amended and Restated Unconditional Capital Maintenance Agreement'],Amended and Restated Unconditional Capital Maintenance Agreement,"['Company', 'American International Group, Inc.', 'American General Life Insurance Company', 'AIG']","American International Group, Inc. (""AIG""); American General Life Insurance Company (""Company"")","['February 18, 2014']",2/18/14,"['February 18, 2014']",2/18/14,"['Unless earlier terminated in accordance with this paragraph 7, this Agreement shall continue indefinitely.']",perpetual,[],,"['AIG shall have the absolute right to terminate this Agreement upon thirty (30) days\' prior written notice to the Company, which notice shall state the effective date of termination (the ""Termination Date""); provided, however, that AIG agrees not to terminate this Agreement unless (a) AIG significantly modifies the<omitted>corporate structure or ownership of the Company, or (b) AIG sells the Company to an acquirer, in each case, (i) having a rating from at least one of S&P, Moody\'s, A.M. Best or a substitute agency, which is a nationally recognized statistical rating organization, that is at least equal to the lower of (x) AIG\'s then-current rating from such agency or (y) the Company\'s then-current rating as supported by this Agreement from such agency; or (ii) such that, immediately on the effective date of the modification of corporate structure or sale by AIG of the Company, the Company\'s capitalization is consistent with the minimum capital adequacy standards and criteria of at least one of S&P, Moody\'s, A.M. Best or a substitute agency, which is a nationally recognized statistical rating organization, for a rating that is equal to or better than the Company\'s then-current rating on the date immediately preceding such modification of corporate structure or sale.']",30 days,"['This Agreement shall be governed by and construed in accordance with the laws of New York, without giving effect to the principles of conflict of laws.']",New York
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT.PDF,['OPERATIONS AND MAINTENANCE AGREEMENT'],OPERATIONS AND MAINTENANCE AGREEMENT,"['""Omega"" or ""Operator""', 'Owner', 'MAGELLAN TERMINALS HOLDINGS, L.P.', 'OMEGA REFINING, LLC', 'Owner and Operator are referred to individually herein as a ""Party"" and collectively herein as the ""Parties""']","MAGELLAN TERMINALS HOLDINGS, L.P. (""Owner""); OMEGA REFINING , LLC ("" Omega or Operator""); Individually as ""Party"" and collectively as ""Parties""","['3rd day of November, 2010']",11/3/10,"['3rd day of November, 2010']",11/3/10,"['This Agreement shall commence on the Effective Date and, shall continue for the duration of the Lease, unless terminated earlier pursuant to Section 3.2 or 3.3.']",,[],,[],,"['This Agreement shall be governed by, construed, and enforced in accordance with the laws of the State of Delaware, without regard to choice of law principles that would require the application of the laws of any other jurisdiction.']",Delaware
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.PDF,['Maintenance and Support Agreement'],Maintenance and Support Agreement,"['Converge', '""VNE""; collectively with VNI, ""Vert""', 'VerticalNet Enterprises LLC', 'VerticalNet, Inc.', 'Converge, Inc.', 'formerly known as Tradeum, Inc. which d/b/a VerticalNet Solutions', 'VNI']","VerticalNet,Inc (""VNI""); Vertical Enterprises LLC formerly known as Tradeum, Inc. which d/b/a VerticalNet Solutions (""VNE""; collectively with VNI, ""VERT""); Converge, Inc.(""Coverage"")","['9th day of October, 2001']",10/9/01,"['October 1, 2001']",10/1/01,"['The initial period of this Agreement (the ""Initial Term"") shall commence upon the Effective Date and continue until March 31, 2003.']",3/31/03,"['Thereafter, this Agreement shall renew only upon the mutual written agreement of the parties for up to three additional renewal terms of one year each (each, a ""Renewal Term"").']",successive 1 year,[],,"['This Agreement and performance under this Agreement shall be governed by the laws of the United States of America and of the Commonwealth of Pennsylvania as applied to agreements entered into and to be performed entirely within Pennsylvania between Pennsylvania residents, excluding its conflicts of law provisions.']",Pennsylvania
ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT.PDF,['FIRST AMENDMENT TO SAGEBRUSH MANAGEMENT AND MAINTENANCE AGREEMENT'],FIRST AMENDMENT TO SAGEBRUSH MANAGEMENT AND MAINTENANCE AGREEMENT,"['ToyoWest Management Inc.', 'Partnership', 'Sagebrush', 'Partners', 'Manager', 'Sagebrush partners']","Sagebrush (""Partnership""); Sagebrush partners (""Partners""); ToyoWest Management Inc. (""Manager"")","['December 1, 1990']",12/1/90,[],,[],,[],,[],,[],
"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT.PDF",['ORDERLY MARKETING AGREEMENT'],ORDERLY MARKETING AGREEMENT,"['Trust Advisors to the Seller Trusts', 'Trust Advisors', 'Each of GWG and the Trust Advisors may be referred to herein as a ""Party"" and collectively as the ""Parties.""', 'GWG', 'GWG Holdings, Inc.']","GWG Holdings, Inc. (""GWG""); Trust Advisors to the Seller Trusts (""Trust Advisors""); GWG and Trust Advisors (each a  “Party” and collectively as the “Parties”)","['December 27, 2018']",12/27/18,"['December 27, 2018']",12/27/18,"['This OMA shall expire upon the earlier of (i) the first anniversary of the Effective Date and (ii) the date that all Shares of Stock of the Seller Trusts as set forth on Schedule A hereto have been sold (the ""Term"").']",12/27/19,[],,[],,"['This OMA, and all claims or causes of action (whether in contract or tort) that may be based upon, arise out of or relate to this OMA or the negotiation, execution or performance of this OMA (including any claim or cause of action based upon, arising out of or related to any representation or warranty made in or in connection with this OMA), will be construed in accordance with and governed by the law of the State of New York without regard to principles of conflicts of laws that would result in the application of the law of any other jurisdiction.']",New York
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement.PDF","['Sales, Marketing, Distribution, and Supply Agreement']","Sales, Marketing, Distribution, and Supply Agreement","['Hemispherx Biopharma, Inc.', 'Scientific Products Pharmaceutical Co. LTD.', 'HEMISPHERX', 'SCIENTIFIC PRODUCTS PHARMACEUTICAL CO. LTD', 'HEMISPHERX BIOPHARMA, INC', 'SCIEN']","HEMISPHERX BIOPHARMA, INC (""HEMISPHERX""); Scientific Products Pharmaceutical Co. LTD (""SCIEN”)",['3-31-16'],3/31/16,"['This Agreement shall become effective when it shall have been executed by all parties and upon receipt of all counterparts hereof that, when taken together, bear the signatures of each of the other parties hereto.', 'This Agreement between HEMISPHERX and SCIEN shall be in effect beginning the last date of execution set forth on the signature page to the Agreement (the ""Effective Date"") to which this Quality Agreement is Exhibit 2 and remain in effect until HEMISPHERX and SCIEN terminate the Agreement or it is superseded by a revised Quality Agreement executed by both parties.']",,"['The Term will be 3 years from Effective Date with an automatic 2 year term extensions unless otherwise advised by one of the Parties.', 'This Agreement between HEMISPHERX and SCIEN shall be in effect beginning the last date of execution set forth on the signature page to the Agreement (the ""Effective Date"") to which this Quality Agreement is Exhibit 2 and remain in effect until HEMISPHERX and SCIEN terminate the Agreement or it is superseded by a revised Quality Agreement executed by both parties.']",3/31/19,['The Term will be 3 years from Effective Date with an automatic 2 year term extensions unless otherwise advised by one of the Parties.'],successive 2 years,['The Term will be 3 years from Effective Date with an automatic 2 year term extensions unless otherwise advised by one of the Parties.'],,"['This Agreement and the transactions contemplated herein shall be governed by, and construed in accordance with, the laws of the State of Delaware, USA and disputes, if not resolved by the Parties, will be settled by binding arbitration in and under the rules of arbitration in London, England.']",Delaware
Monsanto Company - SECOND A&R EXCLUSIVE AGENCY AND MARKETING AGREEMENT .PDF,['SECOND AMENDED AND RESTATED EXCLUSIVE AGENCY AND MARKETING AGREEMENT'],SECOND AMENDED AND RESTATED EXCLUSIVE AGENCY AND MARKETING AGREEMENT,"['the ""Agent""', 'The Scotts Company', 'Monsanto', 'The Scotts Company LLC', 'Monsanto Company']","Monsanto Company (""Monsanto""); The Scotts Company LLC (""The Scotts Company"",""Agent"")","['August 31, 2017']",8/31/17,"['September 30, 1998']",9/30/98,['This Agreement shall commence as of the Effective Date and shall continue unless and until terminated as provided herein.'],perpetual,[],,[],,"[""The validity, interpretation and performance of this Agreement and any dispute connected with this Agreement will be governed by and determined in accordance with the statutory, regulatory and decisional law of the State of Delaware (exclusive of such state's choice of laws or conflicts of laws rules) and, to the extent applicable, the federal statutory, regulatory and decisional law of the United States.""]",Delaware
LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT.PDF,['JOINT DEVELOPMENT AND MARKETING AGREEMENT'],JOINT DEVELOPMENT AND MARKETING AGREEMENT,"['Leclanché', 'each a ""Party"""" and together ""Parties""', 'Oak Ridge', 'LECLANCHÉ S.A.', 'OAK RIDGE ENERGY TECHNOLOGIES INC']","LECLANCHÉ S.A. (""Leclanché""); OAK RIDGE ENERGY TECHNOLOGIES INC (""Oak Ridge""); (each a ""Party""” and together ""Parties"")","['April 6, 2014']",4/6/14,"['April 6, 2014']",4/6/14,"['Subject to Article 22.2, this Agreement shall remain in force for an Initial Period of 1 year, which may be renewed by mutual consent for such period as the Parties may agree (""Term""), unless it is terminated earlier in accordance with this Agreement or for any of the following reasons:']",4/6/15,[],,[],,['This Agreement shall be governed by and construed in accordance with Swiss law.'],Switzerland
"Loop Industries, Inc. - Marketing Agreement.PDF",['Marketing Agreement'],Marketing Agreement,"['each of Loop and Joint Venture Company is a ""Party""; together they are the ""Parties""', 'Loop', 'Indorama Loop Technologies, LLC', 'Joint Venture Company', 'Loop Industries, Inc.']","Loop Industries, Inc. (""Loop""); Indorama Loop Technologies, LLC (""Joint Venture Company”); Loop and Joint Venture Company (individually a ""Party, together they are the ""Parties"")","['September __, 2018']",09/[]/2018,"['September __, 2018']",09/[]/2018,['This Agreement begins on the Effective Date and shall continue indefinitely unless sooner terminated as provided in this Article 5.'],perpetual,[],,[],,"['This Agreement shall be governed by and interpreted in accordance with the laws of the State of Delaware, United States of America, without reference to conflict-of-laws principles.']",Delaware
NUVEEN - REMARKETING AGREEMENT.PDF,['REMARKETING AGREEMENT'],REMARKETING AGREEMENT,"['Fund', 'Nuveen AMT-Free Municipal Credit Income Fund', 'Investment Adviser', 'Remarketing Agent', 'Nuveen Fund Advisors, LLC', '[●]']","Nuveen AMT-Free Municipal Credit Income Fund (“Fund”); Nuveen Fund Advisors, LLC; Nuveen Investments, Inc. (“Investment Adviser”); [●] (""Remarketing Agent”)",['[●]'],,[],,"['This Agreement shall terminate as to the Remarketing Agent and its obligations hereunder with respect to VRRM-MFP Shares upon the earliest to occur of (a) the effective date of the resignation or removal of such Remarketing Agent pursuant to Section 5(a) and Section 5(b), respectively, (b) the completion of a successful Transition Remarketing on a New Mode Commencement Date in connection with transition to a new Mode, or (c) the date on which no VRRM-MFP Shares are Outstanding.']",perpetual,[],,[],,"['This Agreement shall be construed in accordance with and governed by the laws of the State of New York, except Section 25 below, which shall be construed in accordance with and governed by the laws of the Commonwealth of Massachusetts,<omitted>in each case without regard to conflict of laws principles that would require the application of the laws of another jurisdiction.']",New York; Massachussets
"MetLife, Inc. - Remarketing Agreement.PDF",['Remarketing Agreement'],Remarketing Agreement,"['Deutsche Bank Trust Company America', 'Remarketing Agents,', 'Deutsche Bank Securities Inc.', 'Stock Purchase Contract Agent', 'Deutsche Bank', 'Company', 'MetLife, Inc.']","MetLife, Inc. (""Company""); Deutsche Bank Securities Inc. (""Deutsche Bank”, ""Remarketing Agents""); Deutsche Bank Trust Company America (""Stock Purchase Contract Agent"")","['August 26, 2014']",8/26/14,[],,"['In addition, the<omitted>obligations of the Remarketing Agents may be terminated by them by notice given to the Company prior to 12:00 noon, New York City time on the Remarketing Settlement Date if, prior to that time, any of the applicable conditions precedent to the obligations of the Remarketing Agents described in Section 5 hereof shall have failed to occur.']",perpetual,[],,[],,"['THIS REMARKETING AGREEMENT AND THE PRICING AGREEMENT SHALL BE GOVERNED BY AND CONSTRUED IN ACCORDANCE WITH THE LAWS OF THE STATE OF NEW YORK, WITHOUT REGARD TO PRINCIPLES OF CONFLICTS OF LAW TO THE EXTENT THAT SUCH PRINCIPLES WOULD REQUIRE OR PERMIT THE APPLICATION OF LAWS OF ANOTHER JURISDICTION.']",New York
"PACIRA PHARMACEUTICALS, INC. - A&R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT .PDF","['AMENDED AND RESTATED STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT']","AMENDED AND RESTATED STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT","['F/K/A SKYEPHARMA, INC.', 'EKR', 'PACIRA PHARMACEUTICALS, INC.', 'EKR THERAPEUTICS, INC.', 'PPI']","PACIRA PHARMACEUTICALS, INC. (""F/K/A SKYEPHARMA, INC."", “PPI”); EKR THERAPEUTICS, INC. (""EKR"")","['October 15, 2009']",10/15/09,"['August 10, 2007']",8/10/07,"['This Agreement shall commence on the Effective Date and, subject to earlier termination in accordance with the provisions of Section 16, shall continue in force for a period being the longer of fifteen (15) years from first Commercial Launch of the Product in the Territory or until  the expiration of the last valid claim in the PPI Patents covering the Product in any country of the Territory (the ""Initial Term"").']",perpetual,['Thereafter  the term of this Agreement shall automatically renew for consecutive periods of two (2) years each.'],successive 2 years,"['Notwithstanding the foregoing, this  Agreement can be terminated by EKR at the end of the Initial Term by delivery of written notice to PPI at least one hundred eighty (180)  days prior to the end of the Initial Term or any renewal term.']",180 days,"['This Agreement and the relationship between the Parties shall be governed by, and interpreted in accordance with New  York law without regard to provisions related to conflicts of laws, and, except as provided in Section 21.2 above, the Parties agree to submit  any dispute to the exclusive jurisdiction of the federal and state courts sitting in New York.']",New York
